dataset,task,level,variant,successes,failures,attempts,gen_sr_pct,mean_ep_len,min_ep_len,max_ep_len,finished_at,wall_min,size_gb
L0,cup_place,L0,-,400,63,463,86.4,207,206,210,2026-08-16 19:02:29,,3.41
L1,cup_place,L1,-,400,66,466,85.8,188,150,219,2026-08-16 22:54:03,,3.04
L2,cup_place,L2,-,400,70,470,85.1,187,150,219,2026-08-16 23:26:11,,3.03
L3v00,cup_place,L3,v00,40,5,45,88.9,186,150,219,2026-08-16 23:30:45,,0.30
L3v01,cup_place,L3,v01,40,5,45,88.9,186,150,219,2026-08-16 23:33:23,,0.30
L3v02,cup_place,L3,v02,40,5,45,88.9,186,150,219,2026-08-16 23:35:45,,0.30
L3v03,cup_place,L3,v03,40,5,45,88.9,186,150,219,2026-08-16 23:38:07,,0.30
L3v04,cup_place,L3,v04,40,5,45,88.9,186,150,219,2026-08-16 23:40:30,,0.30
L3v05,cup_place,L3,v05,40,6,46,87.0,187,150,219,2026-08-16 23:42:57,,0.30
L3v06,cup_place,L3,v06,40,6,46,87.0,187,150,219,2026-08-16 23:45:23,,0.30
L3v07,cup_place,L3,v07,40,6,46,87.0,187,150,219,2026-08-16 23:47:49,,0.30
L3v08,cup_place,L3,v08,40,6,46,87.0,187,150,219,2026-08-16 23:50:14,,0.30
L3v09,cup_place,L3,v09,40,6,46,87.0,187,150,219,2026-08-16 23:52:39,,0.30
T2_L0,drawer_stow,L0,-,400,328,728,54.9,705,663,724,2026-08-17 05:48:52,,7.59
T2_L1,drawer_stow,L1,-,400,506,906,44.2,694,663,724,2026-08-17 08:39:32,,7.42
T2_L2,drawer_stow,L2,-,400,906,1306,30.6,677,618,743,2026-08-17 12:48:35,,7.21
T2_L3v00,drawer_stow,L3,v00,40,80,120,33.3,675,623,743,2026-08-17 13:12:21,,0.72
T2_L3v01,drawer_stow,L3,v01,40,80,120,33.3,675,623,743,2026-08-17 13:35:35,,0.72
T2_L3v02,drawer_stow,L3,v02,40,80,120,33.3,675,623,743,2026-08-17 13:58:10,,0.72
T2_L3v03,drawer_stow,L3,v03,40,80,120,33.3,675,623,743,2026-08-17 14:20:49,,0.72
T2_L3v04,drawer_stow,L3,v04,40,80,120,33.3,675,623,743,2026-08-17 14:43:25,,0.72
T2_L3v05,drawer_stow,L3,v05,40,85,125,32.0,679,623,743,2026-08-17 15:06:52,,0.73
T2_L3v06,drawer_stow,L3,v06,40,85,125,32.0,679,623,743,2026-08-17 15:30:28,,0.73
T2_L3v07,drawer_stow,L3,v07,40,85,125,32.0,679,623,743,2026-08-17 15:53:57,,0.73
T2_L3v08,drawer_stow,L3,v08,40,85,125,32.0,679,623,743,2026-08-17 16:17:25,,0.73
T2_L3v09,drawer_stow,L3,v09,40,85,125,32.0,679,623,743,2026-08-17 16:41:01,,0.73
T3_L0,push_target,L0,-,400,6,406,98.5,317,282,352,2026-08-18 00:25:42,29,5.21
T3_L1,push_target,L1,-,400,22,422,94.8,319,282,399,2026-08-18 00:57:25,32,5.25
T3_L2,push_target,L2,-,400,21,421,95.0,311,265,399,2026-08-18 01:28:05,31,5.06
T3_L3v00,push_target,L3,v00,40,8,48,83.3,309,265,399,2026-08-18 01:31:54,4,0.50
T3_L3v01,push_target,L3,v01,40,7,47,85.1,310,265,399,2026-08-18 01:35:30,4,0.50
T3_L3v02,push_target,L3,v02,40,6,46,87.0,309,265,372,2026-08-18 01:39:01,4,0.50
T3_L3v03,push_target,L3,v03,40,3,43,93.0,314,265,399,2026-08-18 01:42:26,3,0.51
T3_L3v04,push_target,L3,v04,40,3,43,93.0,314,265,399,2026-08-18 01:45:53,3,0.51
T3_L3v05,push_target,L3,v05,40,10,50,80.0,307,265,399,2026-08-18 01:49:51,4,0.49
T3_L3v06,push_target,L3,v06,40,4,44,90.9,315,265,399,2026-08-18 01:53:18,3,0.51
T3_L3v07,push_target,L3,v07,40,4,44,90.9,314,265,399,2026-08-18 01:56:46,3,0.51
T3_L3v08,push_target,L3,v08,40,4,44,90.9,314,265,399,2026-08-18 02:00:14,3,0.51
T3_L3v09,push_target,L3,v09,40,3,43,93.0,314,265,399,2026-08-18 02:03:40,3,0.51
